detector,error_type,annotation_id,session_id,turn_number,current_user_message,label,confidence,notes
broad_discovery,FALSE_POSITIVE,PIVOT-0030,265a2437-f92d-4a75-8d69-97179d7e462a,8,"Yes, ""Bored"" by Deftones is a solid pick! It perfectly demonstrates that blend of heavy sound with powerful, dynamic clean vocals I was looking for. This has been a really great session of discovery and hitting exactly what I wanted. Thanks for the recommendations! Can you suggest something else that's really unique and experimental in the djent or progressive metal scene?",NOT_ARTIST_PIVOT,LOW,
broad_discovery,FALSE_POSITIVE,PIVOT-0068,49f61be9-99ba-495c-93b2-9814645dad50,2,"Knights of Cydonia"" is a classic! The epic feel and those themes of rebellion are spot on for what I'm looking for. Could you suggest something else with a strong sense of political commentary or even exploring personal emotion?",NOT_ARTIST_PIVOT,HIGH,
broad_discovery,FALSE_POSITIVE,PIVOT-0070,967d8c52-accd-48d5-bcf3-8e35ea633e88,8,Yes! Brent Faiyaz is a great suggestion. This is exactly the kind of soulful R&B I was hoping for from another artist. Really good for the background vibe. What else have you got that's similar to this?,NOT_ARTIST_PIVOT,HIGH,
broad_discovery,FALSE_POSITIVE,PIVOT-0074,404d1932-1051-4cd8-a906-e8786ecf7091,7,"Yeah, this is really epic! The intro is super cool and it definitely builds up that big, powerful feeling. Slipknot is the best. Can you recommend something else that's powerful and has a really strong, driving rhythm, maybe something a bit faster and more aggressive again, but still with that crisp production?",NOT_ARTIST_PIVOT,HIGH,
broad_discovery,FALSE_POSITIVE,PIVOT-0101,3864dcf9-91f2-4d02-81a9-9cd637c3a8a9,2,"This is a classic, I love it! It's super smooth. Can you play something else by her, maybe something with a bit more of an upbeat vibe, or from a different album?",NOT_ARTIST_PIVOT,HIGH,
broad_discovery,FALSE_POSITIVE,PIVOT-0104,7414efef-273c-4814-a3ce-6fa960583187,8,"Okay, whatever. We already found 'Flower Boy' though, with the bees and everything, remember? That's the album I was looking for, so we're good there. Just play me something else cool then, like some chill hip-hop.",NOT_ARTIST_PIVOT,MEDIUM,
broad_discovery,FALSE_POSITIVE,PIVOT-0143,19d90e39-2a9a-4435-b75e-3bfd7dca418f,2,"Yes, Old Crow Medicine Show is great! That definitely nails the old-timey sound. Can you recommend something else with a similar traditional American folk or country vibe?",NOT_ARTIST_PIVOT,HIGH,
broad_discovery,FALSE_POSITIVE,PIVOT-0161,f9701fbd-a286-4845-b3c1-05ce9a0483df,8,"I appreciate the high-energy tracks, but I'm still really hoping to hear something from their early 90s albums like Dookie or Insomniac. I'm trying to explore their discography fully, and I haven't heard any of their older, raw punk sound yet. Can you please play a track that fits that description?",NOT_ARTIST_PIVOT,HIGH,
broad_discovery,FALSE_POSITIVE,PIVOT-0181,c693d99e-ec77-48ba-ad8f-b7a701635569,3,"Kimbra is always amazing, and 'The Build Up' is a cool track. However, I'm really trying to find something that specifically captures that feeling of overcoming a challenge, that kind of resilient spirit, especially if it's from a film. The Kimbra songs, while great, don't quite hit that emotional depth or narrative theme I'm searching for right now. Can we try something else that leans into that 'struggle and resilience' more directly?",NOT_ARTIST_PIVOT,HIGH,
broad_discovery,FALSE_NEGATIVE,PIVOT-0011,1a8718d3-b39e-4c3e-b35d-b5165a79a901,7,"Yes! ""Basket Case"" is a perfect example of what I was looking for from a different band. Great choice. Can you hit me with another energetic, melodic punk rock track from the mid-to-late 90s, maybe something by Face to Face or Pulley?",ARTIST_PIVOT,MEDIUM,
broad_discovery,FALSE_NEGATIVE,PIVOT-0013,d65ebb8a-a4ac-4e16-96cc-63a330245c60,6,"Oh my goodness, ""Paperback Writer"" is another classic, yes, but I'm really getting frustrated! I've been asking for an *unexpected twist* on familiar songs, like a cover version in a different style, like that Rita Lee ""In My Life"" track from the very beginning. Can you PLEASE suggest something that is *not* an original Beatles song, but a cover or a reimagining of a classic rock track?",ARTIST_PIVOT,MEDIUM,
